Field ID,Field Mnemonic,Data License Category,Field Type
A0224,ARD_FUEL_EXP,Security Master,Real
A0225,ARD_LANDING_OTHER_FEES,Security Master,Real
A0226,ARD_MAINTENANCE_REPAIR,Security Master,Real
A0227,ARD_AIRCRAFT_RENTALS_SPEC_IND,Security Master,Real
A0230,ARD_PRODUCTION_EXP,Security Master,Real
A0231,ARD_PURCHASED_TRANS,Security Master,Real
A0240,ARD_SUPPLIES_MATERIAL_EXP,Security Master,Real
A2721,ARD_OPERATING_REV,Security Master,Real
A2722,ARD_PASSENGER,Security Master,Real
A2723,ARD_REGIONAL,Security Master,Real
A2724,ARD_CARGO_FREIGHT_REVENUE,Security Master,Real
A2725,ARD_LEASE_RENTAL_REV,Security Master,Real
A2726,ARD_VOYAGE_REV,Security Master,Real
A2727,ARD_TIME_BAREBOAT_CHARTER_REV,Security Master,Real
A2728,ARD_OPERATING_EXPENSE,Security Master,Real
A2729,ARD_VOYAGE_EXP,Security Master,Real
A2730,ARD_VESSEL_OPERATING_EXP,Security Master,Real
A2731,ARD_CHARTER_HIRE_EXP,Security Master,Real
A2732,ARD_LEASE_EQUIP_RENTAL_EXP,Security Master,Real
A2734,ARD_TRANSPORTATION_FUEL,Security Master,Real
A2735,ARD_TRANSPORT_MAINT_EXP,Security Master,Real
A2736,ARD_MAINT_WAY_EXP,Security Master,Real
A2737,ARD_MAINT_STRUCTURES_EQUIP,Security Master,Real
A2739,ARD_COMMISSIONS,Security Master,Real
A2740,ARD_FOOD_SERVICE_PASS_SERVICE,Security Master,Real
A2741,ARD_GROUND_HANDLING,Security Master,Real
A2742,ARD_COMMUNICATIONS_UTIL_EXP,Security Master,Real
A2743,ARD_INVEST_DIRECT_FIN_LEASES,Security Master,Real
A2744,ARD_FLIGHT_EQUIPMENT,Security Master,Real
A2745,ARD_PREDELIVER_DPST_FLIGHT_EQUIP,Security Master,Real
A2746,ARD_ROUTES,Security Master,Real
A2747,ARD_AIR_TRAFFIC_LIAB,Security Master,Real
A2901,ARD_FRANCHISED_RESTAURANT_ROYAL,Security Master,Real
A2902,ARD_OTHER_RANCHISED_INCOME,Security Master,Real
A2903,ARD_ROOMS_AND_TELE_CASINOS,Security Master,Real
A2904,ARD_CASINO_GAMING_REV,Security Master,Real
A2905,ARD_FOOD_BEVERAGE_COSTS,Security Master,Real
A2906,ARD_ROOMS_AND_TELEPHONE,Security Master,Real
A2907,ARD_CASINO_GAMING_EXPENSES,Security Master,Real
A2908,ARD_OCCUPANCY_OTHER_OPER_EXP,Security Master,Real
A2909,ARD_STORE_PREOPENING_EXP,Security Master,Real
A2910,ARD_STORE_CLOSING_COSTS,Security Master,Real
A2912,ARD_MAINTENANCE_REVENUE,Security Master,Real
A2913,ARD_SERVICE_MAINT_REV,Security Master,Real
A2914,ARD_ADVERTISING_REV,Security Master,Real
A2915,ARD_CURCULATION_REV,Security Master,Real
A2916,ARD_SUBSCRIPTION_REV,Security Master,Real
A2917,ARD_EQUIPMENT_REV,Security Master,Real
A2918,ARD_BROADCASTING_REV,Security Master,Real
A2920,ARD_COST_MAINT_REV_SPEC_IND,Security Master,Real
A2921,ARD_COST_OF_SERVICE_MAINT_REV,Security Master,Real
A2922,ARD_COST_OF_ADVERTISING_REV,Security Master,Real
A2923,ARD_COST_OF_CIRCULATION_REV,Security Master,Real
A2924,ARD_COST_OF_SUBSCRIPTION_REV,Security Master,Real
A2925,ARD_COST_OF_EQUIPMENT_REV,Security Master,Real
A2926,ARD_COST_OF_BROADCASTING_REV,Security Master,Real
A2927,ARD_PRODUCT_DISTRIBUTION_EXP,Security Master,Real
A2928,ARD_AMORT_ACQ_TECH_PURCH_SOFT,Security Master,Real
A2929,ARD_TECH_SOFTWARE_DEVELOP_COSTS,Security Master,Real
A2930,ARD_PROGRAM_BROADCAST_RT_ST,Security Master,Real
A2931,ARD_LICENSES,Security Master,Real
A2932,ARD_PROGRAM_BROADCAST_RT_LT,Security Master,Real
A2933,ARD_CUSTOMER_LISTS_CONTRACTS,Security Master,Real
A2934,ARD_PROGRAM_BROADCAST_RIGHT_ST,Security Master,Real
A2935,ARD_PROGRAM_BROADCAST_RIGHT_LT,Security Master,Real
A2939,ARD_AMORT_PROGRAM_BROADCAST_RTS,Security Master,Real
A2940,ARD_AMORT_ACQ_DEVELOPED_TECH,Security Master,Real
A2941,ARD_PURCH_CAPITAL_COMP_SOFTWARE,Security Master,Real
A3293,ARD_OTHER_TAXES,Security Master,Real
A3563,ARD_SHARES_AUTHORIZED,Security Master,Real
A4065,ARD_SECURITIES_OWNED,Security Master,Real
A4505,ARD_SALE_OF_REAL_ESTATE,Security Master,Real
A4507,ARD_PURCHASE_OF_REAL_ESTATE,Security Master,Real
A4900,ARD_MATERIALS_SUPPLIES_GAS_STOR,Security Master,Real
A4901,ARD_OWNED_LEASED_HOTEL_REV,Security Master,Real
A4902,ARD_TIMESHARE_SALES_OTHER_SVCS,Security Master,Real
A4903,ARD_VACA_OWNRSHP_RES_SALE_SVCS,Security Master,Real
A4904,ARD_COST_OWNED_LEASE_HOTEL_REV,Security Master,Real
A4905,ARD_COST_TIMESHARE_SALES_SVCS,Security Master,Real
A4906,ARD_COST_VACA_OWNRSHP_RES_SVCS,Security Master,Real
A4907,ARD_NET_SALES_OPER_REV_ENERGY,Security Master,Real
A4908,ARD_OIL_GAS_REVENUE,Security Master,Real
A4909,ARD_CONTRACT_DRILLING_REVENUE,Security Master,Real
A4910,ARD_DEPREC_DEPLETION_AMORT,Security Master,Real
A4911,ARD_DEPLETION_EXP,Security Master,Real
A4912,ARD_DEPR_AMORT_COST_OF_TIMBER,Security Master,Real
A4913,ARD_OPER_AND_MAINT_EXP,Security Master,Real
A4914,ARD_CONTRACT_DRILLING_COSTS,Security Master,Real
A4915,ARD_GL_DERIV_HEDGING_ACTIVITIES,Security Master,Real
A4916,ARD_OIL_GAS_PROPERTIES_GROSS_TOT,Security Master,Real
A4917,ARD_RIGS_DRILLING_EQUIPMENT,Security Master,Real
A4918,ARD_TIMBER_TIMBERLANDS_NET,Security Master,Real
A4919,ARD_MINERAL_MINING_PROPERTIES,Security Master,Real
A4920,ARD_ASBESTOS_LIAB_ST,Security Master,Real
A4921,ARD_ASBESTOS_LIAB_LT,Security Master,Real
A4926,ARD_DEPR_DEPLETION_AMORT,Security Master,Real
A4927,ARD_DEPLETION,Security Master,Real
A4928,ARD_DEPR_AMORT_TIMBER,Security Master,Real
A4929,ARD_ACQ_PROPERTIES_EQUIP,Security Master,Real
A4930,ARD_EXPLORATION_PRODUCT_COSTS,Security Master,Real
A4931,ARD_DEV_COSTS,Security Master,Real
A4932,ARD_TIMBERLANDS_ACQ_BASIC_MATS,Security Master,Real
A4933,ARD_HOME_SALES_HOME_BUILDING,Security Master,Real
A4934,ARD_LAND_LOT_SALES,Security Master,Real
A4935,ARD_FIN_SVCS_MTGE_BANKING_REV,Security Master,Real
A4936,ARD_COST_HOME_SALES_BUILDING,Security Master,Real
A4937,ARD_COST_LAND_AND_LOT_SALES,Security Master,Real
A4938,ARD_COST_FIN_SVCS_MTG_BANK_REV,Security Master,Real
A4939,ARD_INT_EXP_HOMEBUILDING,Security Master,Real
A4940,ARD_INT_EXP_FIN_SVCS_MTGE_BANK,Security Master,Real
A4941,ARD_CASH_EQUIV_FIN_SVCS,Security Master,Real
A4942,ARD_ACCOUNTS_REC_FIN_SVCS,Security Master,Real
A4943,ARD_OTH_CUR_ASSET_FIN_SVCS_MTG,Security Master,Real
A4944,ARD_OTH_NONC_ASSET_FIN_SVC_MTG,Security Master,Real
A4945,ARD_ACCOUNTS_PAYABLE_FIN_SVCS,Security Master,Real
A4946,ARD_NOTE_PAYABLE_ST_FIN_SVCS_MTG,Security Master,Real
A4947,ARD_OTH_CURR_LIAB_FIN_SVCS_MTG,Security Master,Real
A4948,ARD_OTH_NONC_LIAB_FIN_SVCS_MTG,Security Master,Real
A4949,ARD_LAND_UNDER_DEVELOPMENT,Security Master,Real
A4950,ARD_FINISHED_HOMES_PROPERTIES,Security Master,Real
A4951,ARD_INVENTORY_NOT_OWNED,Security Master,Real
A4952,ARD_SAMPLE_MODEL_EQUIP,Security Master,Real
A4953,ARD_ADMIN_SVCS_FEES,Security Master,Real
A4954,ARD_MGMT_SVCS_FEES,Security Master,Real
A4955,ARD_COMMERCIAL_SALES,Security Master,Real
A4956,ARD_SENIOR_REVENUE,Security Master,Real
A4957,ARD_COST_COMMERCIAL_SALES,Security Master,Real
A4958,ARD_COST_SENIOR_REV,Security Master,Real
A4959,ARD_ACCRUED_INVEST_INCOME,Security Master,Real
A4960,ARD_COLL_REC_UNDER_LOAN_AGREE,Security Master,Real
A4961,ARD_LOANED_SECURITIES,Security Master,Real
A4962,ARD_ADMIN_SERVICES_FEES,Security Master,Real
A4963,ARD_ASSETS_UNDER_MGMT,Security Master,Real
A4964,ARD_BILLED_PREMIUMS,Security Master,Real
A4965,ARD_ACCURED_PREMIUMS,Security Master,Real
A4966,ARD_MTG_LOANS,Security Master,Real
A4967,ARD_INVESTMENT_REAL_ESTATE,Security Master,Real
A4968,ARD_REINSURANCE_RECOVERABLES,Security Master,Real
A4969,ARD_COLL_PAY_UNDER_LOAN_AGREE,Security Master,Real
A4970,ARD_SEC_TRADES_PENDING_PAYABLE,Security Master,Real
A4971,ARD_SECS_LENDING_PAYABLE,Security Master,Real
A4972,ARD_CHANGES_ACCRUED_INVEST_INC,Security Master,Real
A4973,ARD_CHNG_HEALTH_CARE_INS_LIAB,Security Master,Real
A4974,ARD_POLICY_LIAB_CHANGE,Security Master,Real
A4975,ARD_UNPAID_CLAIMS_CHANGES,Security Master,Real
A4976,ARD_CHANGE_BILLED_ACC_PREM_REC,Security Master,Real
A4977,ARD_CHANGES_SECS_LENDING_COLL,Security Master,Real
A4978,ARD_DEPO_INT_CRED_INVEST_CNTRCT,Security Master,Real
A4979,ARD_WITHDRAWAL_INVEST_CONTRACT,Security Master,Real
A4980,ARD_CHNG_SECS_LENDING_PAYABLE,Security Master,Real
A4981,ARD_OPERATING_EPS_BASIC,Security Master,Real
A4982,ARD_OPERATING_EPS_DILUTED,Security Master,Real
